species	genu	family
Hieracium_pseudocongruens	Hieracium	Asteraceae
Hieracium_pseudocrebridens	Hieracium	Asteraceae
Hieracium_pseudodiminuens	Hieracium	Asteraceae
Hieracium_pseudodolichaetum	Hieracium	Asteraceae
Hieracium_pseudofioniae	Hieracium	Asteraceae
Hieracium_pseudoglabridens	Hieracium	Asteraceae
Hieracium_pseudogratiosum	Hieracium	Asteraceae
Hieracium_pseudogrovesianum	Hieracium	Asteraceae
Hieracium_pseudobipes	Hieracium	Asteraceae
Hieracium_parvulifrons	Hieracium	Asteraceae
Hieracium_patens	Hieracium	Asteraceae
Hieracium_perexpansum	Hieracium	Asteraceae
Hieracium_perintegrum	Hieracium	Asteraceae
Hieracium_peristericum	Hieracium	Asteraceae
Hieracium_perlaniferum	Hieracium	Asteraceae
Hieracium_pictorum	Hieracium	Asteraceae
Hieracium_paucidentatum	Hieracium	Asteraceae
Hieracium_pauculidens	Hieracium	Asteraceae
Hieracium_paui	Hieracium	Asteraceae
Hieracium_pauradenium	Hieracium	Asteraceae
Hieracium_paurodontum	Hieracium	Asteraceae
Hieracium_paurophyllum	Hieracium	Asteraceae
Hieracium_paxianum	Hieracium	Asteraceae
Hieracium_pectinatum	Hieracium	Asteraceae
Hieracium_penduloides	Hieracium	Asteraceae
Hieracium_pentaploideum	Hieracium	Asteraceae
Hieracium_peracutum	Hieracium	Asteraceae
Hieracium_percomiforme	Hieracium	Asteraceae
Hieracium_percrenatum	Hieracium	Asteraceae
Hieracium_pernervosum	Hieracium	Asteraceae
Hieracium_peroblongum	Hieracium	Asteraceae
Hieracium_perornaticeps	Hieracium	Asteraceae
Hieracium_perscitum	Hieracium	Asteraceae
Hieracium_personatum	Hieracium	Asteraceae
Hieracium_pertinacifolium	Hieracium	Asteraceae
Hieracium_peterfii	Hieracium	Asteraceae
Hieracium_petropavlovskeanum	Hieracium	Asteraceae
Hieracium_petrosae	Hieracium	Asteraceae
Hieracium_petrovae	Hieracium	Asteraceae
Hieracium_phaedrocheilon	Hieracium	Asteraceae
Hieracium_phaeocomoides	Hieracium	Asteraceae
Hieracium_phalarograptum	Hieracium	Asteraceae
Hieracium_phaleratum	Hieracium	Asteraceae
Hieracium_phaliotrichum	Hieracium	Asteraceae
Hieracium_philanthracinum	Hieracium	Asteraceae
Hieracium_phrygionium	Hieracium	Asteraceae
Hieracium_picenorum	Hieracium	Asteraceae
Hieracium_piciniforme	Hieracium	Asteraceae
Hieracium_pictum	Hieracium	Asteraceae
Hieracium_pietrae	Hieracium	Asteraceae
Hieracium_pietroszense	Hieracium	Asteraceae
Hieracium_piliceps	Hieracium	Asteraceae
Hieracium_piliferum	Hieracium	Asteraceae
Hieracium_praegrandiceps	Hieracium	Asteraceae
Hieracium_praelineatum	Hieracium	Asteraceae
Hieracium_piligerum	Hieracium	Asteraceae
Hieracium_pilosum	Hieracium	Asteraceae
Hieracium_pilulicuspis	Hieracium	Asteraceae
Hieracium_pinegense	Hieracium	Asteraceae
Hieracium_pinnigerum	Hieracium	Asteraceae
Hieracium_pioracense	Hieracium	Asteraceae
Hieracium_pirinicola	Hieracium	Asteraceae
Hieracium_pizenze	Hieracium	Asteraceae
Hieracium_placerophylloides	Hieracium	Asteraceae
Hieracium_placerum	Hieracium	Asteraceae
Hieracium_planchonianum	Hieracium	Asteraceae
Hieracium_planifrons	Hieracium	Asteraceae
Hieracium_plantagineum	Hieracium	Asteraceae
Hieracium_platybasis	Hieracium	Asteraceae
Hieracium_platygastor	Hieracium	Asteraceae
Hieracium_platylepioides	Hieracium	Asteraceae
Hieracium_pljesevicae	Hieracium	Asteraceae
Hieracium_plumbeolum	Hieracium	Asteraceae
Hieracium_plumbeum	Hieracium	Asteraceae
Hieracium_portlandicum	Hieracium	Asteraceae
Hieracium_pospichalii	Hieracium	Asteraceae
Hieracium_potamophilon	Hieracium	Asteraceae
Hieracium_sillrense	Hieracium	Asteraceae
Hieracium_silsinum	Hieracium	Asteraceae
Hieracium_pohlei	Hieracium	Asteraceae
Hieracium_pojoritense	Hieracium	Asteraceae
Hieracium_poliocarenum	Hieracium	Asteraceae
Hieracium_poliocranum	Hieracium	Asteraceae
Hieracium_poliotrachelum	Hieracium	Asteraceae
Hieracium_poliudovense	Hieracium	Asteraceae
Hieracium_pollinense	Hieracium	Asteraceae
Hieracium_polyglochin	Hieracium	Asteraceae
Hieracium_polymorphophyllum	Hieracium	Asteraceae
Hieracium_polypelium	Hieracium	Asteraceae
Hieracium_polyschistomorphum	Hieracium	Asteraceae
Hieracium_polysteganum	Hieracium	Asteraceae
Hieracium_pomoricum	Hieracium	Asteraceae
Hieracium_porphyritifrons	Hieracium	Asteraceae
Hieracium_porrigens	Hieracium	Asteraceae
Hieracium_praecipuum	Hieracium	Asteraceae
Hieracium_praecordans	Hieracium	Asteraceae
Hieracium_praelongum	Hieracium	Asteraceae
Hieracium_praematurum	Hieracium	Asteraceae
Hieracium_praenodatum	Hieracium	Asteraceae
Hieracium_praetenerifrons	Hieracium	Asteraceae
Hieracium_praetervisum	Hieracium	Asteraceae
Hieracium_praetusum	Hieracium	Asteraceae
Hieracium_praeviride	Hieracium	Asteraceae
Hieracium_prasinamaurum	Hieracium	Asteraceae
Hieracium_pravifrons	Hieracium	Asteraceae
Hieracium_gredense	Hieracium	Asteraceae
Hieracium_salicarium	Hieracium	Asteraceae
Hieracium_pretiosum	Hieracium	Asteraceae
Hieracium_probum	Hieracium	Asteraceae
Hieracium_prodanianum	Hieracium	Asteraceae
Hieracium_progrediens	Hieracium	Asteraceae
Hieracium_prolatescens	Hieracium	Asteraceae
Hieracium_prolinguatum	Hieracium	Asteraceae
Hieracium_prostratum	Hieracium	Asteraceae
Hieracium_pseudovranjanum	Hieracium	Asteraceae
Hieracium_pseudozetlandicum	Hieracium	Asteraceae
Hieracium_psilodorum	Hieracium	Asteraceae
Hieracium_pendulinum	Hieracium	Asteraceae
Hieracium_protractifrons	Hieracium	Asteraceae
Hieracium_proversum	Hieracium	Asteraceae
Hieracium_pseudoratezatense	Hieracium	Asteraceae
Hieracium_proximum	Hieracium	Asteraceae
Hieracium_pruinale	Hieracium	Asteraceae
Hieracium_psammogenes	Hieracium	Asteraceae
Hieracium_pseudacroleucum	Hieracium	Asteraceae
Hieracium_pseudohypochnoodes	Hieracium	Asteraceae
Hieracium_pseudojutlandicum	Hieracium	Asteraceae
Hieracium_pseudolatypeum	Hieracium	Asteraceae
Hieracium_pseudomixtum	Hieracium	Asteraceae
Hieracium_pseudo-omangii	Hieracium	Asteraceae
Hieracium_pseudopachyodon	Hieracium	Asteraceae
Hieracium_pseudopallidum	Hieracium	Asteraceae
Hieracium_pseudopalmenii	Hieracium	Asteraceae
Hieracium_pseudopediaeum	Hieracium	Asteraceae
Hieracium_pseudopellucidum	Hieracium	Asteraceae
Hieracium_pseudophyllodes	Hieracium	Asteraceae
Hieracium_pseudoscardicum	Hieracium	Asteraceae
Hieracium_pseudosevericeps	Hieracium	Asteraceae
Hieracium_pseudostenolepis	Hieracium	Asteraceae
Hieracium_scytophyllum	Hieracium	Asteraceae
Hieracium_segregatum	Hieracium	Asteraceae
Hieracium_segureum	Hieracium	Asteraceae
Hieracium_sinuatum	Hieracium	Asteraceae
Hieracium_pseudostupposum	Hieracium	Asteraceae
Hieracium_psiloloma	Hieracium	Asteraceae
Hieracium_psilurum	Hieracium	Asteraceae
Hieracium_pteropodium	Hieracium	Asteraceae
Hieracium_pteropogon	Hieracium	Asteraceae
Hieracium_ptilophorum	Hieracium	Asteraceae
Hieracium_pujattii	Hieracium	Asteraceae
Hieracium_pulchridens	Hieracium	Asteraceae
Hieracium_pulchrius	Hieracium	Asteraceae
Hieracium_pullicalicitum	Hieracium	Asteraceae
Hieracium_pulvericeps	Hieracium	Asteraceae
Hieracium_pumilare	Hieracium	Asteraceae
Hieracium_purpurascens	Hieracium	Asteraceae
Hieracium_semialpinum	Hieracium	Asteraceae
Hieracium_semicaesium	Hieracium	Asteraceae
Hieracium_semicanescens	Hieracium	Asteraceae
Hieracium_semicanipes	Hieracium	Asteraceae
Hieracium_semicurvatum	Hieracium	Asteraceae
Hieracium_semilimbatum	Hieracium	Asteraceae
Hieracium_semipallescens	Hieracium	Asteraceae
Hieracium_semipendulum	Hieracium	Asteraceae
Hieracium_senex	Hieracium	Asteraceae
Hieracium_separ	Hieracium	Asteraceae
Hieracium_serdanyolae	Hieracium	Asteraceae
Hieracium_sericophyllum	Hieracium	Asteraceae
Hieracium_seriflorum	Hieracium	Asteraceae
Hieracium_sermenikense	Hieracium	Asteraceae
Hieracium_serratum	Hieracium	Asteraceae
Hieracium_severiceps	Hieracium	Asteraceae
Hieracium_sexangulare	Hieracium	Asteraceae
Hieracium_silvicomum	Hieracium	Asteraceae
Hieracium_simbruinicum	Hieracium	Asteraceae
Hieracium_simia	Hieracium	Asteraceae
Hieracium_similigerum	Hieracium	Asteraceae
Hieracium_pusillifolium	Hieracium	Asteraceae
Hieracium_ramosum	Hieracium	Asteraceae
Hieracium_ramselense	Hieracium	Asteraceae
Hieracium_rapunculoides	Hieracium	Asteraceae
Hieracium_riddelsdellii	Hieracium	Asteraceae
Hieracium_rigentipilosum	Hieracium	Asteraceae
Hieracium_pyrrhocranum	Hieracium	Asteraceae
Hieracium_quadridentatum	Hieracium	Asteraceae
Hieracium_racemosiforme	Hieracium	Asteraceae
Hieracium_radiopes	Hieracium	Asteraceae
Hieracium_asturicum	Hieracium	Asteraceae
Hieracium_langei	Hieracium	Asteraceae
Hieracium_ringselense	Hieracium	Asteraceae
Hieracium_rioxanum	Hieracium	Asteraceae
Hieracium_riphaeoides	Hieracium	Asteraceae
Hieracium_ravaudii	Hieracium	Asteraceae
Hieracium_raveniorum	Hieracium	Asteraceae
Hieracium_inopifolium	Hieracium	Asteraceae
Hieracium_reayense	Hieracium	Asteraceae
Hieracium_rechingeriorum	Hieracium	Asteraceae
Hieracium_recoderi	Hieracium	Asteraceae
Hieracium_rectiforme	Hieracium	Asteraceae
Hieracium_rectulum	Hieracium	Asteraceae
Hieracium_repandilaterum	Hieracium	Asteraceae
Hieracium_reticulatiforme	Hieracium	Asteraceae
Hieracium_reticulatum	Hieracium	Asteraceae
Hieracium_retusulum	Hieracium	Asteraceae
Hieracium_revocantiforme	Hieracium	Asteraceae
Hieracium_rhombotum	Hieracium	Asteraceae
Hieracium_roboratum	Hieracium	Asteraceae
Hieracium_robustum	Hieracium	Asteraceae
Hieracium_ronayense	Hieracium	Asteraceae
Hieracium_rossicum	Hieracium	Asteraceae
Hieracium_rostanii	Hieracium	Asteraceae
Hieracium_rubiginans	Hieracium	Asteraceae
Hieracium_rubiginosum	Hieracium	Asteraceae
Hieracium_ruminosiforme	Hieracium	Asteraceae
Hieracium_sajambrense	Hieracium	Asteraceae
Hieracium_salviifolium	Hieracium	Asteraceae
Hieracium_sandozianum	Hieracium	Asteraceae
Hieracium_sarcophylloton	Hieracium	Asteraceae
Hieracium_sartorianum	Hieracium	Asteraceae
Hieracium_rutiliceps	Hieracium	Asteraceae
Hieracium_saturicolor	Hieracium	Asteraceae
Hieracium_saurotoides	Hieracium	Asteraceae
Hieracium_saurotum	Hieracium	Asteraceae
Hieracium_scamandris	Hieracium	Asteraceae
Hieracium_scapigerum	Hieracium	Asteraceae
Hieracium_scardicum	Hieracium	Asteraceae
Hieracium_scarpicum	Hieracium	Asteraceae
Hieracium_schefferi	Hieracium	Asteraceae
Hieracium_schellianum	Hieracium	Asteraceae
Hieracium_scheppigianum	Hieracium	Asteraceae
Hieracium_schlegelii	Hieracium	Asteraceae
Hieracium_schmidtii	Hieracium	Asteraceae
Hieracium_vestitum	Hieracium	Asteraceae
Hieracium_schustleri	Hieracium	Asteraceae
Hieracium_scorzonerifolium	Hieracium	Asteraceae
Hieracium_scoticum	Hieracium	Asteraceae
Hieracium_scottii	Hieracium	Asteraceae
Hieracium_scullyi	Hieracium	Asteraceae
Hieracium_siphlanthum	Hieracium	Asteraceae
Hieracium_smolandicum	Hieracium	Asteraceae
Hieracium_snowdoniense	Hieracium	Asteraceae
Hieracium_sococratoideum	Hieracium	Asteraceae
Hieracium_soczavae	Hieracium	Asteraceae
Hieracium_soleifolium	Hieracium	Asteraceae
Hieracium_coderianum	Hieracium	Asteraceae
Hieracium_solum	Hieracium	Asteraceae
Hieracium_sonchoides	Hieracium	Asteraceae
Hieracium_sosvaense	Hieracium	Asteraceae
Hieracium_sowadeense	Hieracium	Asteraceae
Hieracium_spargens	Hieracium	Asteraceae
Hieracium_sparsiguttatum	Hieracium	Asteraceae
Hieracium_sparsiramum	Hieracium	Asteraceae
Hieracium_sparsum	Hieracium	Asteraceae
Hieracium_subulicuspis	Hieracium	Asteraceae
Hieracium_subumbelliferum	Hieracium	Asteraceae
Hieracium_teplouchovii	Hieracium	Asteraceae
Hieracium_terenodes	Hieracium	Asteraceae
Hieracium_texedense	Hieracium	Asteraceae
Hieracium_subnitens	Hieracium	Asteraceae
Hieracium_stenanthelum	Hieracium	Asteraceae
Hieracium_stenocola	Hieracium	Asteraceae
Hieracium_stenocranoides	Hieracium	Asteraceae
Hieracium_stenodontophyllum	Hieracium	Asteraceae
Hieracium_speciosum	Hieracium	Asteraceae
Hieracium_spenceanum	Hieracium	Asteraceae
Hieracium_sphenophyllum	Hieracium	Asteraceae
Hieracium_splendens	Hieracium	Asteraceae
Hieracium_steenhoffii	Hieracium	Asteraceae
Hieracium_stefanssonii	Hieracium	Asteraceae
Hieracium_steinbergianum	Hieracium	Asteraceae
Hieracium_steindorii	Hieracium	Asteraceae
Hieracium_strictiforme	Hieracium	Asteraceae
Hieracium_subplumuligerum	Hieracium	Asteraceae
Hieracium_sychnolobum	Hieracium	Asteraceae
Hieracium_tephropogon	Hieracium	Asteraceae
Hieracium_stenolomoides	Hieracium	Asteraceae
Hieracium_stenolonchum	Hieracium	Asteraceae
Hieracium_stenomischum	Hieracium	Asteraceae
Hieracium_stenopholidium	Hieracium	Asteraceae
Hieracium_stenosemum	Hieracium	Asteraceae
Hieracium_stenotrichum	Hieracium	Asteraceae
Hieracium_pseudostenstroemii	Hieracium	Asteraceae
Hieracium_stictophylloides	Hieracium	Asteraceae
Hieracium_stoedvarense	Hieracium	Asteraceae
Hieracium_storliense	Hieracium	Asteraceae
Hieracium_strengnense	Hieracium	Asteraceae
Hieracium_strictipes	Hieracium	Asteraceae
Hieracium_subacuens	Hieracium	Asteraceae
Hieracium_subaequialtum	Hieracium	Asteraceae
Hieracium_subalpestre	Hieracium	Asteraceae
Hieracium_subasperellum	Hieracium	Asteraceae
Hieracium_subbellidifolium	Hieracium	Asteraceae
Hieracium_subcaesiiforme	Hieracium	Asteraceae
Hieracium_subcaesium	Hieracium	Asteraceae
Hieracium_subchristianiense	Hieracium	Asteraceae
Hieracium_subciliatum	Hieracium	Asteraceae
Hieracium_subcinerascens	Hieracium	Asteraceae
Hieracium_subcompositum	Hieracium	Asteraceae
Hieracium_subconspersum	Hieracium	Asteraceae
Hieracium_subcrinellum	Hieracium	Asteraceae
Hieracium_subcyaneum	Hieracium	Asteraceae
Hieracium_subduriceps	Hieracium	Asteraceae
Hieracium_subedentatum	Hieracium	Asteraceae
Hieracium_subedentulum	Hieracium	Asteraceae
Hieracium_subeversianum	Hieracium	Asteraceae
Hieracium_subglobosum	Hieracium	Asteraceae
Hieracium_subhirsutissimum	Hieracium	Asteraceae
Hieracium_subholophyllum	Hieracium	Asteraceae
Hieracium_subhorizontale	Hieracium	Asteraceae
Hieracium_subinquilinum	Hieracium	Asteraceae
Hieracium_sublaeticeps	Hieracium	Asteraceae
Hieracium_sublasiophyllum	Hieracium	Asteraceae
Hieracium_sublineolatum	Hieracium	Asteraceae
Hieracium_submaculigerum	Hieracium	Asteraceae
Hieracium_submammatidens	Hieracium	Asteraceae
Hieracium_subniviferum	Hieracium	Asteraceae
Hieracium_subortum	Hieracium	Asteraceae
Hieracium_subpamphili	Hieracium	Asteraceae
Hieracium_subpatagiarium	Hieracium	Asteraceae
Hieracium_subpatulum	Hieracium	Asteraceae
Hieracium_subpellucidum	Hieracium	Asteraceae
Hieracium_subphalarograptum	Hieracium	Asteraceae
Hieracium_subrivoense	Hieracium	Asteraceae
Hieracium_subrubicundum	Hieracium	Asteraceae
Hieracium_subscabrescens	Hieracium	Asteraceae
Hieracium_subsparsidens	Hieracium	Asteraceae
Hieracium_substellatum	Hieracium	Asteraceae
Hieracium_substrictipilum	Hieracium	Asteraceae
Hieracium_subterscissiforme	Hieracium	Asteraceae
Hieracium_subtilipilosum	Hieracium	Asteraceae
Hieracium_subtruncatum	Hieracium	Asteraceae
Hieracium_subviridans	Hieracium	Asteraceae
Hieracium_subvladeasae	Hieracium	Asteraceae
Hieracium_sudermannicum	Hieracium	Asteraceae
Hieracium_sudeticum	Hieracium	Asteraceae
Hieracium_supernatum	Hieracium	Asteraceae
Hieracium_suriforme	Hieracium	Asteraceae
Hieracium_surrejanum	Hieracium	Asteraceae
Hieracium_sutteri	Hieracium	Asteraceae
Hieracium_swantevitii	Hieracium	Asteraceae
Hieracium_symphytifolium	Hieracium	Asteraceae
Hieracium_taeniifolium	Hieracium	Asteraceae
Hieracium_talayonicum	Hieracium	Asteraceae
Hieracium_tanaodeirum	Hieracium	Asteraceae
Hieracium_tanense	Hieracium	Asteraceae
Hieracium_tanyglochin	Hieracium	Asteraceae
Hieracium_taurinense	Hieracium	Asteraceae
Hieracium_teliforme	Hieracium	Asteraceae
Hieracium_teligerum	Hieracium	Asteraceae
Hieracium_teliumbellatum	Hieracium	Asteraceae
Hieracium_tenellifrons	Hieracium	Asteraceae
Hieracium_tenericaulescens	Hieracium	Asteraceae
Hieracium_tenuifrons	Hieracium	Asteraceae
Hieracium_tephrodermum	Hieracium	Asteraceae
Hieracium_thomasianum	Hieracium	Asteraceae
Hieracium_thulense	Hieracium	Asteraceae
Hieracium_thyraicum	Hieracium	Asteraceae
Hieracium_timanense	Hieracium	Asteraceae
Hieracium_tincticuspis	Hieracium	Asteraceae
Hieracium_thapsiformoides	Hieracium	Asteraceae
Hieracium_turbinellum	Hieracium	Asteraceae
Hieracium_turbinicephalum	Hieracium	Asteraceae
Hieracium_thegaleum	Hieracium	Asteraceae
Hieracium_thermophilum	Hieracium	Asteraceae
Hieracium_thesauranum	Hieracium	Asteraceae
Hieracium_thesioides	Hieracium	Asteraceae
Hieracium_thingvellirense	Hieracium	Asteraceae
Hieracium_titanogenes	Hieracium	Asteraceae
Hieracium_tjaelderense	Hieracium	Asteraceae
Hieracium_tolmatchevii	Hieracium	Asteraceae
Hieracium_tonalense	Hieracium	Asteraceae
Hieracium_torrigliense	Hieracium	Asteraceae
Hieracium_tortuosum	Hieracium	Asteraceae
Hieracium_toscoemilianum	Hieracium	Asteraceae
Hieracium_tottoense	Hieracium	Asteraceae
Hieracium_trachlosimum	Hieracium	Asteraceae
Hieracium_transpeczoricum	Hieracium	Asteraceae
Hieracium_transylvanicum	Hieracium	Asteraceae
Hieracium_tricantabricum	Hieracium	Asteraceae
Hieracium_trichophyton	Hieracium	Asteraceae
Hieracium_trilegionense	Hieracium	Asteraceae
Hieracium_tripes	Hieracium	Asteraceae
Hieracium_trischistum	Hieracium	Asteraceae
Hieracium_tristiceps	Hieracium	Asteraceae
Hieracium_tristicolor	Hieracium	Asteraceae
Hieracium_trivialiforme	Hieracium	Asteraceae
Hieracium_turritellum	Hieracium	Asteraceae
Hieracium_ugandiense	Hieracium	Asteraceae
Hieracium_ulocomum	Hieracium	Asteraceae
Hieracium_ulothrix	Hieracium	Asteraceae
Hieracium_umbellaticeps	Hieracium	Asteraceae
Hieracium_umbellatiforme	Hieracium	Asteraceae
Hieracium_umbricoliforme	Hieracium	Asteraceae
Hieracium_umbrosoides	Hieracium	Asteraceae
Hieracium_undulidens	Hieracium	Asteraceae
Hieracium_unguiculatum	Hieracium	Asteraceae
Hieracium_unguiferum	Hieracium	Asteraceae
Hieracium_uralense	Hieracium	Asteraceae
Hieracium_urumoffii	Hieracium	Asteraceae
Hieracium_usticollum	Hieracium	Asteraceae
Hieracium_vaginifolium	Hieracium	Asteraceae
Hieracium_vaidae	Hieracium	Asteraceae
Hieracium_porrectum	Hieracium	Asteraceae
Hieracium_valdeplicatum	Hieracium	Asteraceae
Hieracium_valgescens	Hieracium	Asteraceae
Hieracium_varianifolium	Hieracium	Asteraceae
Hieracium_varianum	Hieracium	Asteraceae
Hieracium_varsugae	Hieracium	Asteraceae
Hieracium_vastulum	Hieracium	Asteraceae
Hieracium_vegaradanum	Hieracium	Asteraceae
Hieracium_velebiticum	Hieracium	Asteraceae
Hieracium_vellereum	Hieracium	Asteraceae
Hieracium_venostorum	Hieracium	Asteraceae
Hieracium_vladeasae	Hieracium	Asteraceae
Pilosella_aletschensis	Pilosella	Asteraceae
Hieracium_vexillatum	Hieracium	Asteraceae
Hieracium_vikense	Hieracium	Asteraceae
Hieracium_violascentiforme	Hieracium	Asteraceae
Hieracium_virosum	Hieracium	Asteraceae
Hieracium_vischerae	Hieracium	Asteraceae
Hieracium_viscosum	Hieracium	Asteraceae
Hieracium_vittatulum	Hieracium	Asteraceae
Hieracium_vivantii	Hieracium	Asteraceae
Hieracium_wainioi	Hieracium	Asteraceae
Hieracium_wendelianum	Hieracium	Asteraceae
Hieracium_wettsteinianum	Hieracium	Asteraceae
Hieracium_wiinstedtii	Hieracium	Asteraceae
Hieracium_wolfii	Hieracium	Asteraceae
Hieracium_xanthoprasinophyes	Hieracium	Asteraceae
Hieracium_xestocarenum	Hieracium	Asteraceae
Hieracium_xystophorum	Hieracium	Asteraceae
Hieracium_yxnerumense	Hieracium	Asteraceae
Hieracium_zajacii	Hieracium	Asteraceae
Hieracium_zelenaglavense	Hieracium	Asteraceae
Hieracium_zetlandicum	Hieracium	Asteraceae
Hieracium_zinserlingii	Hieracium	Asteraceae
Hieracium_zonulatiforme	Hieracium	Asteraceae
Pilosella_adenocantabrica	Pilosella	Asteraceae
Pilosella_adenogaliciana	Pilosella	Asteraceae
Pilosella_alpicola	Pilosella	Asteraceae
Pilosella_alturgelliana	Pilosella	Asteraceae
Pilosella_amaurocephala	Pilosella	Asteraceae
Pilosella_aranii	Pilosella	Asteraceae
Pilosella_argyrocoma	Pilosella	Asteraceae
Pilosella_argyrogaliciana	Pilosella	Asteraceae
Pilosella_arnoseroides	Pilosella	Asteraceae
Pilosella_auriculoides	Pilosella	Asteraceae
Pilosella_balansae	Pilosella	Asteraceae
Pilosella_basifurca	Pilosella	Asteraceae
Pilosella_brachycoma	Pilosella	Asteraceae
Pilosella_brzovecensis	Pilosella	Asteraceae
Pilosella_calomastix	Pilosella	Asteraceae
Pilosella_castellana	Pilosella	Asteraceae
Pilosella_cinereiformis	Pilosella	Asteraceae
Pilosella_corymbuloides	Pilosella	Asteraceae
Pilosella_dubia	Pilosella	Asteraceae
Pilosella_eminens	Pilosella	Asteraceae
Pilosella_faurei	Pilosella	Asteraceae
Pilosella_euchaetia	Pilosella	Asteraceae
Pilosella_fainensis	Pilosella	Asteraceae
Hieracium_limbatum	Hieracium	Asteraceae
Pilosella_floribunda	Pilosella	Asteraceae
Pilosella_fontqueri	Pilosella	Asteraceae
Pilosella_fulviseta	Pilosella	Asteraceae
Pilosella_fusca	Pilosella	Asteraceae
Pilosella_fuscoatra	Pilosella	Asteraceae
Pilosella_iberoatlantica	Pilosella	Asteraceae
Pilosella_glomerata	Pilosella	Asteraceae
Pilosella_gudarica	Pilosella	Asteraceae
Pilosella_heterodoxiformis	Pilosella	Asteraceae
Pilosella_heterogaliciana	Pilosella	Asteraceae
Pilosella_hyperborea	Pilosella	Asteraceae
Pilosella_hypeurocinerea	Pilosella	Asteraceae
Pilosella_hypeurya	Pilosella	Asteraceae
Hieracium_canum	Hieracium	Asteraceae
Pilosella_koernickeana	Pilosella	Asteraceae
Pilosella_lamprocantabrica	Pilosella	Asteraceae
Pilosella_longisquama	Pilosella	Asteraceae
Pilosella_macrostolona	Pilosella	Asteraceae
Pilosella_macrotricha	Pilosella	Asteraceae
Pilosella_macutensis	Pilosella	Asteraceae
Pilosella_maraniana	Pilosella	Asteraceae
Pilosella_mayeri	Pilosella	Asteraceae
Pilosella_megargyrocoma	Pilosella	Asteraceae
Pilosella_megatricha	Pilosella	Asteraceae
Pilosella_montiberica	Pilosella	Asteraceae
Pilosella_nevadensis	Pilosella	Asteraceae
Pilosella_nigrogudarica	Pilosella	Asteraceae
Pilosella_niveogaliciana	Pilosella	Asteraceae
Pilosella_noguerensis	Pilosella	Asteraceae
Pilosella_oroasturica	Pilosella	Asteraceae
Pilosella_orolegionensis	Pilosella	Asteraceae
Pilosella_paragoga	Pilosella	Asteraceae
Pilosella_pawlowskiellum	Pilosella	Asteraceae
Gelasia_villosa	Gelasia	Asteraceae
Pilosella_pilosellina	Pilosella	Asteraceae
Pilosella_pintodasilva	Pilosella	Asteraceae
Pilosella_plaicensis	Pilosella	Asteraceae
Pilosella_polymastix	Pilosella	Asteraceae
Pilosella_procera	Pilosella	Asteraceae
Pilosella_pseudofidalgoana	Pilosella	Asteraceae
Pilosella_pseudogalliciana	Pilosella	Asteraceae
Pilosella_pseudomaraniana	Pilosella	Asteraceae
Pilosella_pseudopilosella	Pilosella	Asteraceae
Pilosella_pseudosulphurea	Pilosella	Asteraceae
Pilosella_puenteana	Pilosella	Asteraceae
Pilosella_rothiana	Pilosella	Asteraceae
Pilosella_rubra	Pilosella	Asteraceae
Pilosella_saussureoides	Pilosella	Asteraceae
Pilosella_scandinavica	Pilosella	Asteraceae
Pilosella_schneidii	Pilosella	Asteraceae
Pilosella_segoviensis	Pilosella	Asteraceae
Pilosella_solacolui	Pilosella	Asteraceae
Pilosella_subgudarica	Pilosella	Asteraceae
Pilosella_subrubens	Pilosella	Asteraceae
Pilosella_ziziana	Pilosella	Asteraceae
Pilosella_tardiuscula	Pilosella	Asteraceae
Pilosella_tardogaliciana	Pilosella	Asteraceae
Pilosella_tephrodes	Pilosella	Asteraceae
Pilosella_tephroglauca	Pilosella	Asteraceae
Pilosella_tephrophyton	Pilosella	Asteraceae
Pilosella_tremedalis	Pilosella	Asteraceae
Pilosella_triplex	Pilosella	Asteraceae
Pilosella_tubulascens	Pilosella	Asteraceae
Pilosella_ullepitschii	Pilosella	Asteraceae
Pilosella_unamunoi	Pilosella	Asteraceae
Pilosella_universitatis	Pilosella	Asteraceae
Pilosella_walteri-langii	Pilosella	Asteraceae
Pilosella_pseudolactucella	Pilosella	Asteraceae
Tolpis_barbata	Tolpis	Asteraceae
Tolpis_staticifolia	Tolpis	Asteraceae
Tolpis_umbellata	Tolpis	Asteraceae
Tolpis_grossii	Tolpis	Asteraceae
Scorzoneroides_helvetica	Scorzoneroides	Asteraceae
Scorzoneroides_microcephala	Scorzoneroides	Asteraceae
Scorzoneroides_montana	Scorzoneroides	Asteraceae
Petasites_anapetrovianus	Petasites	Asteraceae
Petasites_doerfleri	Petasites	Asteraceae
Petasites_alpestris	Petasites	Asteraceae
Petasites_rechingeri	Petasites	Asteraceae
Calendula_suffruticosa	Calendula	Asteraceae
Calendula_tripterocarpa	Calendula	Asteraceae
Leysera_leyseroides	Leysera	Asteraceae
Ifloga_spicata	Ifloga	Asteraceae
Filago_arvensis	Filago	Asteraceae
Gnaphalium_rossicum	Gnaphalium	Asteraceae
Filago_aegaea	Filago	Asteraceae
Filago_contracta	Filago	Asteraceae
Filago_cuneata	Filago	Asteraceae
Filago_desertorum	Filago	Asteraceae
Filago_eriocephala	Filago	Asteraceae
Filago_mixta	Filago	Asteraceae
Filago_mareotica	Filago	Asteraceae
Filago_micropodioides	Filago	Asteraceae
Filago_pyramidata	Filago	Asteraceae
Filago_ramosissima	Filago	Asteraceae
